Strain,Genetics,THC
Deadlights,Sativa-dominant (65%),Low
Dedoverde Haze,Sativa-dominant (80%),18-24%
Deep Cheese,Indica/sativa,High
Deep Chunk,Indica (100%),Medium
Deep Purple,Indica-dominant (85%),Medium
Deimos,Indica-dominant autoflowering,Medium
Delahaze,Sativa-dominant (70%),High
Delicious Candy,Indica-dominant (80%),22-23%
Desert Diesel,Sativa-dominant (55%),
Desert Queen,Indica-dominant (60%),Medium
Desfrán,Sativa (90-100%),High
Destroyer,Sativa (90-100%),20%
Devil,Indica-dominant,Medium
Devil Cream Autoflowering,Indica/sativa autoflowering,Medium
Devil Fruit,Indica-dominant (70%),15-20%
DFA Autoflowering,Indica-dominant autoflowering,16%
Diamond Girl,Indica-dominant (60%),15%
Diesel,Sativa-dominant (60%),12-16%
Diesel Autoflowering,Sativa-dominant autoflowering,14%
Diesel Berry Autoflowering,Indica/sativa autoflowering,High
Diesel Dipped Cookies,Indica-dominant,Medium
Diesel Glue,Sativa-dominant,18-19%
Diesel Haze Autoflowering,Sativa-dominant (70%) autoflowering,17%
Diesel Kush,Sativa-dominant (60%),High
Diesel Ryder,Indica/sativa autoflowering,17-19%
Dieseltonic,Indica/sativa (50/50),Medium
Dinachem,Sativa-dominant (65%),18-23%
Dinamed CBD,Sativa-dominant (60%),0.50%
Dinamed CBD Autoflowering,Indica-dominant (60%) autoflowering,0.3-0.8%
Dinamed CBD Plus,Sativa-dominant (60%),0.5-1%
Dinamex,Indica/sativa,High
Dinamex Autoflowering,Sativa-dominant autoflowering,High
DJ’s Gold,Sativa-dominant (55%),Medium
Doctor Jamaica,Indica/sativa (50/50),15%
Dominator,Sativa-dominant,Medium
Double Alien 18,Indica-dominant (60%),Medium
Double Diesel Ryder,Sativa-dominant autoflowering,Medium
Double Dutch,Indica-dominant,High
Double Glock,Indica (100%),Medium
Double Tangie Banana,Indica-dominant (60%),Medium
Double White,Indica-dominant (60%),Medium
Douce Nuit,Indica-dominant (80%),Medium
Dr Greenthumb’s Em-Dog,Indica-dominant (70%),20-27%
Dr. Greenthumb's  Dedoverde Haze Autoflowering,Sativa-dominant (80%) autoflowering,13-16%
Dr. Grinspoon,Sativa (100%),High
Dr. Who,Indica-dominant (60%),High
Dreamberry,Sativa-dominant autoflowering,High
Dulce De Leche,Indica-dominant autoflowering,Medium
Durban,Sativa (90-100%),High
Durban Magic,Sativa (90-100%),High
Durban Poison,Sativa-dominant,High
Durban-Thai x C99,Sativa-dominant,High
Durga Mata,Indica (90-100%),18-22%
Durga Mata II CBD,Indica (90-100%),8.50%
Dutch Cheese,Sativa-dominant (60%),12-15%
Dutch Dragon,Sativa-dominant (75%),17-21%
Dutch Haze,Sativa (90-100%),12-14%
Dutch Kush,Indica-dominant (80%),Medium
Dynamite,Indica-dominant (75%),20%
Eagle Bill,Sativa-dominant (70%),Medium
Early Amnesia CBD,Sativa-dominant (65%),9.50%
Early Pearl,Sativa-dominant (75%),Medium
Early Pearl Skunk x Haze,Sativa-dominant,Medium
Early Queen,Indica-dominant,Medium
Early Skunk,Indica-dominant (65%),Medium
Early Skunk Autoflowering,Indica-dominant (70%) autoflowering,Medium
Early Skunk Haze,Sativa-dominant,Medium
Early Skunk x Blue Lemon Thai,Indica/sativa,Medium
Early Top Tao,Indica/sativa,Medium
Early Widow,Indica-dominant,16%
Easy Bud,Indica-dominant (55%) autoflowering,12%
Easy Haze,Sativa-dominant (70%),20-21%
Easy Ryder,Indica/sativa autoflowering,19%
Easy Sativa,Sativa (90-100%),Medium
Easy Skunk,Indica-dominant,15-18%
Ed Rosenthal Super Bud,Indica/sativa (50/50),High
Edam Bomb,Indica-dominant (60%),10-15%
El Alquimista,Indica-dominant (70%),21%
El Alquimista Autoflowering,Indica-dominant autoflowering,19%
El Fuego,Indica-dominant (70%),Medium
Eldorado,Sativa (90-100%),High
Eleven Roses,Indica (100%),24-25%
Enemy Of The State,Indica,19%
Ese T. Bilbo Autoflowering,Indica-dominant autoflowering,Medium
Euforia,Sativa-dominant,18%
Euphoria,Indica-dominant (80%),9%
Everest Bud,Indica/sativa,14-17%
Ewe-2,Indica (90-100%),18-21%
Exodus Cheese,Indica-dominant (60%),18.43%
Exodus Cheese Auto CBD,Indica-dominant autoflowering,5-8%
Exodus Cheese Autoflowering,Indica-dominant autoflowering,Medium
Exodus Kush,Indica-dominant (60%),High
Exotic Kush,Indica (100%),High
Exotic Thai,Sativa-dominant (70%),Medium
Expert 47,Sativa-dominant (65%),High
Expert Haze,Sativa (90-100%),21%
F13,Sativa-dominant,Medium
Face Melt OG,Indica/sativa,Medium
Fallen Angel,Indica-dominant (80%),17-19%
Fast Caramel,Indica-dominant,Medium
Fast Eddy Autoflowering,Sativa-dominant autoflowering,9%
Fastberry,Indica-dominant autoflowering,19%
Fat Banana,Indica-dominant (70%),25%
First Lady,Indica (90-100%),Medium
Flash Babylon,Indica-dominant autoflowering,18%
Flash Back 2,Sativa-dominant (60%),Medium
Flo,Sativa-dominant (60%),Medium
Florida Gold,Indica-dominant (70%),Medium
Florida Lemons,Indica-dominant (60%),Medium
Flowerbomb Kush,Indica-dominant (70%),High
Fondue,Indica-dominant (75%),Medium
Forest Dream,Sativa-dominant,High
Four-Way,Indica-dominant (80%),Medium
Fraggle Skunk Autoflowering,Indica-dominant autoflowering,18%
Franco's Lemon Cheese,Sativa-dominant (60%),21%
Freddy’s Best,Sativa (90-100%),15-20%
Freeze Cheese '89,Indica-dominant (80%),Medium
French Cookies,Indica-dominant (60%),Medium
French Macaron,Indica-dominant,Medium
Frencheese,Indica-dominant (80%),Medium
Fresh Candy,Indica-dominant (75%),Medium
Frisian Dew,Indica/sativa (50/50),Medium
Frisian Duck,Indica/sativa (50/50),Medium
Frosty Kush,Indica-dominant,14-17%
Fruit Autoflowering,Indica-dominant (70%) autoflowering,8-12%
Fruit Spirit,Sativa-dominant (60%),18+%
Fruity Jack,Sativa-dominant (70%),19%
Fruity Juice,Indica/sativa,Medium
Fruity Thai,Indica/sativa,Medium
Full Moon,Sativa (90-100%),15-20%
G-Bomb,Indica (90-100%),High
G13 Hash Plant,Indica (90-100%),High
G13 Haze,Sativa-dominant (80%),21%
G13 Skunk,Indica-dominant,Medium
G13 Widow,Indica-dominant,High
G14,Indica-dominant autoflowering,18%
Galactic Jack,Sativa-dominant (80%),20-25%
Galaxy,Indica-dominant (70%),21%
Ganesh Spirit,Sativa-dominant (60%),18-20%
GG1,Indica (90-100%),16%
Ghingis Khan,Indica-dominant (80%),High
Ghostrider,Indica/sativa,Medium
Gipsy Haze,Sativa-dominant (80%),18-22%
Gipsy Widow,Indica/sativa (50/50),High
Girl Scout Cookies,Indica-dominant (60%),25-28%
Girl Scout Cookies Autoflowering,Indica-dominant autoflowering,20-22%
Girl Scout Haze Cookies,Indica/sativa,15%
Glueberry OG,Indica/sativa,High
GlueChee,Indica-dominant,21-24%
Gnomo Autoflowering,Indica-dominant autoflowering,16%
Go Time,Sativa-dominant,Medium
God's Gift,Indica-dominant,18-22%
Gold Bar Kush,Indica-dominant (60%),Medium
Gold Rush Outdoor,Sativa-dominant (85%),Medium
Golden Berry,Sativa-dominant (60%),High
Golden Haze,Sativa-dominant (70%),22%
Golden Lemons,Indica-dominant (60%),Medium
Golden Tiger,Sativa (100%),20-28%
Golosa,Indica-dominant (80%),26%
Gorilla,Indica-dominant (60%),25%
Gorilla Bomb,Sativa-dominant,25%
Gorilla Girl,Sativa-dominant (60%),19-25%
Gorilla Glue,Indica-dominant,24-30%
Gorilla Glue Autoflowering,Indica-dominant autoflowering,20-24%
Gorilla Zkittlez,Indica-dominant (60%),20-24%
Grand Daddy Purp,Indica-dominant,Medium
Grand OG,Indica-dominant (75%),High
Grandaddy Purple S1,Indica,Medium
Grandaddy White,Indica-dominant,Medium
Grandoggy Purps,Indica-dominant,Medium
Grape Krush,Indica/sativa,Medium
Grape Kush,Indica/sativa,Medium
Grape Lime Ricky,Indica-dominant (60%),Medium
Grape Muerte Autoflowering,Indica-dominant autoflowering,Low
Grape OG,Indica/sativa,Medium
Grapefruit,Sativa-dominant,20%
Grapefruit Autoflowering,Indica/sativa autoflowering,19%
Grapefruit Cheese,Indica-dominant,20%
Grapefruit Diesel,Indica/sativa (50/50),17%
Grapefruit Haze,Sativa-dominant,22%
Grapefruit Kush,Indica-dominant,19%
Grapegod,Indica-dominant,19%
Grapegod x Blueberry,Indica/sativa,Medium
Grapegod x Master Kush,Indica-dominant,Medium
Grateful Casey,Sativa-dominant,Medium
Great White Shark,Indica-dominant (80%),High
Great White Shark CBD,Indica-dominant (70%),7-10%
Green AK XL,Sativa-dominant,18%
Green AK XL Autoflowering,Sativa-dominant autoflowering,15%
Green Crack,Sativa-dominant (60%),18%
Green Crack CBD,Sativa-dominant (60%),6%
Green Gelato,Indica-dominant (55%),25-27%
Green Gummy,Indica-dominant (70%),Medium
Green House Thai,Sativa (90-100%),13.92%
Green Magic,Indica-dominant (60%),19%
Green Poison,Indica-dominant (70%),Medium
Green Poison - F1 Fast Version,Indica-dominant (70%),Medium
Green Poison Autoflowering,Indica-dominant (60%) autoflowering,15-20%
Green Poison CBD,Indica-dominant,5-9%
Green Poison XL Autoflowering,Indica-dominant (60%) autoflowering,15-20%
Green-O-Matic,Indica-dominant (80%) autoflowering,15%
Guava Berry Kush,Indica-dominant (60%),18%
Guayaka,,Medium
Guerrilla’s Gusto,Indica (90-100%),Medium
Guillotine,Indica/sativa autoflowering,15-20%
Gummy Bears,Indica-dominant (70%),
Gypsy Kush,Indica/sativa (50/50),16%
Haoma,Indica-dominant (70%),14%
Happy Brother BX2,Indica-dominant,High
Hash Bomb,Indica-dominant,15-20%
Hash Heaven,Sativa-dominant (80%),High
Hash Plant,Indica (90-100%),Medium
Hash Ultimate,Indica-dominant (80%),18%
Hawaii Maui Waui,Sativa-dominant,Medium
Hawaiian Snow,Sativa-dominant (80%),23%
Haze 2.0 Autoflowering,Sativa-dominant (70%) autoflowering,9-13%
Haze Autoflowering CBD,Sativa-dominant autoflowering,7&
Haze Berry,Sativa-dominant (80%),20%
Haze Gom,Sativa-dominant autoflowering,Medium
Haze Mist,Sativa-dominant,16%
Haze XXL Autoflowering,Sativa-dominant autoflowering,High
Head Cheese,Indica-dominant (75%),Medium
Headband,Indica-dominant (60%),18-20
Headbanger,Sativa-dominant,Medium
Heavy Bud,Indica-dominant,18%
Hell’s Bells,Indica-dominant (70%),19-21%
Hemmy Black,Sativa-dominant,Medium
Herijuana Jack 33,Indica/sativa,Medium
High Level,Sativa (90-100%),16-19%
Hijack Autoflowering,Sativa-dominant autoflowering,High
Himalaya Gold,Indica-dominant (70%),12-13%
Hindu Cream,Indica (90-100%),Medium
Hindu Kush,Indica (100%),18-20%
Hindu Kush Autoflowering,Indica-dominant (90%) autoflowering,Medium
Hollands Hope,Indica-dominant,14.50%
Holy Grail 69,Sativa-dominant (65%),21%
Holy Grail Kush,Indica-dominant,High
Holy Punch,Indica-dominant (70%),20%
Honey B,Sativa (90-100%),18%
Honey Bananas,Indica-dominant,High
Honey Cream - Fast Flowering,Indica-dominant (65%),16%
Honey Peach Auto CBD,Indica-dominant (70%) autoflowering,6-9%
Honeybells,Sativa-dominant (60%),7-10%
Houchie Kouchie Kush,Indica-dominant (70%),24%
HulkBerry,Sativa-dominant (65%),27%
Hurkle,Indica-dominant (60%),10%
ICE,Indica (90-100%),18%
Ice Cool,Sativa-dominant (60%),20-22%
Ice Cool Autoflowering,Indica/sativa autoflowering,16-21%
Ice Cool CBD,Sativa-dominant (60%),5-12%
Ice Cream,60% indica - 40% sativa,Medium
Ice Kush,Indica/sativa,16%
ICED Grapefruit,Indica/sativa,Medium
Iced Widow,Indica-dominant,Medium
Il Diavolo,Indica-dominant autoflowering,17%
Indian Kush,Indica-dominant (80%),20%
Indigo Berry Kush,Indica-dominant (60%),15-21%
Industrial Plant,Indica/sativa (50/50),10-14%
Irie,Sativa-dominant (75%),18-20%
Iron Cindy,Sativa (90-100%),High
Island Sweet Skunk,Sativa-dominant (75%),23%
Jack,Indica/sativa,High
Jack 47 Autoflowering,Sativa-dominant (80%) autoflowering,18-21%
Jack Cheddar,Indica/sativa,Medium
Jack Diesel,Sativa-dominant,22%
Jack F1,Sativa-dominant (75%),Medium
Jack Flash,Indica-dominant (55%),High
Jack Flash 5,Sativa-dominant (65%),Medium
Jack Herer,Indica/sativa,High
Jack Herer Autoflowering,Sativa-dominant autoflowering,16%
Jack La Mota,Sativa-dominant (75%),15-20%
Jack O Nesia,Sativa-dominant,High
Jack Plant,Sativa-dominant,20%
Jack Skellington,Sativa-dominant (70%),High
Jack The Ripper,Sativa-dominant (70%),Medium
Jack The Ripper Autoflowering,Sativa-dominant autoflowering,17%
Jack's Cleaner 2,Sativa-dominant (80%),High
Jacky White,Sativa-dominant (75%),18-22%
Jägg Kush,Sativa-dominant (60%),25%
Jamaican Blueberry BX,Sativa-dominant (70%),17%
Jamaican Dream,Sativa (90-100%),17-21%
Jamaican Lambsbread,Sativa (100%),21-25%
Jamaican OG,Sativa-dominant,High
Jamaican Pearl,Sativa-dominant (85%),Medium
Jenny Kush,Sativa-dominant,High
Jesus OG,Indica-dominant (80%),High
Jet 47,Indica/sativa autoflowering,Medium
Jillybean,Indica-dominant (70%),15-18%
Jock Horror,Sativa-dominant,Medium
John Doe,Sativa-dominant (60%),20-22%
Jorge's Diamonds 1,Indica-dominant,16-18%
Juanita,Sativa-dominant,Low
Juanita La Lagrimosa,Sativa-dominant,6-7%
Julius Caesar,Indica-dominant,Medium
K-Train,Indica,22%
Kabrales,Indica-dominant,Medium
Kaia Kush,Indica-dominant (70%),19-20%
Kalashnikov,Sativa-dominant (60%),19%
Kalashnikov Autoflowering,Sativa-dominant (60%),15%
Kalashnikova,Indica-dominant (80%),15.44%
Kalashnikova Autoflowering,Indica-dominant autoflowering,Medium
Kali 47,Sativa-dominant,19%
Kali China,Indica-dominant (75%),14-22%
Kali Dog,Indica-dominant (60%),18-20%
Kali Haze,Sativa-dominant (75%),High
Kali Mist,Sativa (90-100%),High
Kalijah,Indica-dominant,Medium
Kalini Asia,Indica-dominant (75%),22%
Kama Kush CBD,Indica-dominant,6%
Kandy Kush,Indica-dominant (60%),Medium
Karibbean Mango,Indica-dominant,Medium
Karma's OG,Indica-dominant,Medium
Kaya 47,Sativa-dominant,22%
Khufu,Indica-dominant (75%),20-22%
Kickass Autoflowering,Indica-dominant autoflowering,11%
Killer Grape,Indica/sativa (50/50),High
Killer Kush Autoflowering,Indica-dominant (65%),18-22%
Killer Purps,Sativa-dominant,19-21%
Killer Queen,Indica-dominant,Medium
Killer White,Indica/sativa,14-17%
KillerBee Honey,Sativa-dominant (60%),Medium
King Kong,Indica-dominant,High
King's Kush,Indica-dominant (70%),20%
King's Kush Autoflowering,Indica/sativa autoflowering,Medium
King's Kush Autoflowering CBD,Indica/sativa autoflowering,5-8%
Kiss Dragon,Indica-dominant (60%),18%
Kiwi Kush,Indica-dominant,14-18%
Kiwiskunk,Indica-dominant,Low
Kong 47,Indica-dominant,Medium
Kosher Choco Kush,Indica/sativa (50/50),21%
Kosher Kush,Indica-dominant,Medium
Kosher Tangie Kush,Indica-dominant (60%),21%
Kreamy Karamel,Indica (100%),15-16%
Kritic Autoflowering,Indica-dominant autoflowering,12.50%
Kritikal Bilbo Autoflowering,Indica-dominant autoflowering,Medium
Kritikal-K,Indica-dominant (70%),19-20%
Kryptonite,Sativa-dominant (80%),Medium
Kuchi,Indica-dominant (60%),20-22%
Kush Bomb,Indica/sativa,20-25%
Kush Doctor,Indica/sativa,High
Kush Van Stitch Autoflowering,Indica-dominant,19%
Kush-N-Cheese,Sativa-dominant (60%),High
Kush-N-Cheese Autoflowering,Indica-dominant autoflowering,High
Kushadelic,Indica-dominant (80%),High
Kushage,Indica/sativa,Medium
Kushberry,Indica-dominant (70%),High
LA Affie,Indica (90-100%),Medium
LA Amnesia,Sativa-dominant,20-24%
La Bella Afrodita,Indica/sativa autoflowering,20%
La Blanca,Indica/sativa,14-15%
La Blanca Gold Autoflowering,Indica-dominant (70%) autoflowering,12%
LA Cannalope,Indica/sativa (50/50),Medium
LA Cheese,Indica (90-100%),Medium
LA Chocolat,Indica-dominant (60%),High
LA Confidential,Indica (90-100%),High
La Musa,Indica/sativa autoflowering,19%
La Niña,Indica/sativa,High
La Rica Classic THC,Indica-dominant,20%
LA Ultra,Indica-dominant (80%),19-23%
LA Woman,Indica-dominant (70%),Medium
Ladyburn 1974,Indica/sativa (50/50),21.80%
Landysh,Sativa-dominant (60%),Medium
Langui Kush,Sativa-dominant (80%),Medium
Larry Bird Kush,Indica/sativa (50/50),24-26%
Larry OG Kush,Indica/sativa,Medium
Las Vegas Purple Kush BX,Indica-dominant (80%),High
Laughing Buddha,Sativa-dominant (80%),High
Lavender,Indica-dominant (80%),Medium
Legends Gold,Indica (90-100%),Medium
Lemon AK Autoflowering,Sativa-dominant autoflowering,High
Lemon Auto CBD,Sativa-dominant autoflowering,8%
Lemon Candy,Sativa-dominant (60%),Medium
Lemon Garlic OG,Indica-dominant (80%),17-20%
Lemon Haze,Sativa-dominant (60%),21%
Lemon Haze Autoflowering,Sativa-dominant (70%) autoflowering,Medium
Lemon Head,Sativa-dominant,High
Lemon Ice,Sativa-dominant (60%),Medium
Lemon Juice Express Autoflowering,Sativa-dominant autoflowering,13%
Lemon Kush,Indica/sativa (50/50),20%
Lemon Kush Headband,Sativa-dominant (70%),19-23%
Lemon OG Candy,Sativa-dominant (65%),20%
Lemon OG Haze,Sativa-dominant,Medium
Lemon OG Kush,Indica-dominant (60%),Medium
Lemon Power Haze,Sativa-dominant (75%),20%
Lemon Shining Silver Haze,Sativa-dominant (75%),21%
Lemon Skunk,Sativa-dominant (60%),Medium
Lemon Stilton,Indica/sativa (50/50),Medium
Lemon Thai Kush,Sativa-dominant (60%),16-20%
Lemon Walker,Indica-dominant (60%),Medium
Lemon Zkittle,Sativa-dominant (60%),20%
Lemonesia,Sativa-dominant,Medium
Lennon,Sativa-dominant (80%),19%
Liberty Haze,Sativa-dominant (60%),25%
Little Dipper,Indica-dominant autoflowering,Low
Little Dwarf Autoflowering,Indica/sativa autoflowering,14%
LOL,Sativa-dominant,23%
Lost Coast Hash Plant,Indica-dominant (80%),17-21%
Lost Coast OG,Indica-dominant (75%),17-20%
Lost Coast Skunk Autoflowering,Indica-dominant (80%) autoflowering,11-14%
Louis XIII OG,Indica/sativa,High
Lowryder,Indica-dominant autoflowering,Low
Lowryder 2,Indica-dominant autoflowering,Low
LSD,Indica-dominant (70%),High
LSD Poison,Sativa-dominant (75%),21%
LSD-25,Indica-dominant autoflowering,High
Lucid Bolt,Indica-dominant (70%),17-21%
Lucky Queen,Indica-dominant (70%),Medium
Magma,Indica-dominant,High
Magnum,Sativa-dominant autoflowering,Medium
Magnum Platinum Haze,Sativa-dominant (80%),Medium
Mahayana,Sativa-dominant,Medium
Mako Haze,Sativa-dominant (70%),20%
Malakoff,Sativa-dominant (80%),20%
Malana Bomb Autoflowering,Indica-dominant (70%) autoflowering,Low
Malawi,Sativa (90-100%),24-27%
Malawi Gold,Sativa,Medium
Malibú,Sativa-dominant (80%),High
Mandalay,Sativa-dominant (80%),20%
Mango Haze,Indica/sativa,Medium
Mango Sapphire,Indica-dominant (85%),21-23%
Mango x Widow,Sativa-dominant,Medium
Maple Leaf Indica,Indica (90-100%),Medium
Marionberry Kush,Indica-dominant (60%),23%
Marmalate Early Version,Indica-dominant (70%),21%
Maroc,Indica/sativa,Medium
Martian Kush,Indica-dominant (60%),Medium
Martian Mean Green,Sativa-dominant (60%),High
MassKush,Indica (90-100%),High
Master Hemp,Sativa-dominant (70%),0.3-0.5%
Master Kush,Indica (90-100%),15-18%
Master Kush Autoflowering,Indica-dominant (85%) autoflowering,Medium
Mataró Blue,Indica-dominant,High
Mataró Blue CBD,Indica-dominant,10%
Maxi GoM,Indica/sativa autoflowering,5-10%
Maxi Haze,Sativa-dominant autoflowering,15-20%
Mayday Express,Indica/sativa autoflowering,12-15%
Mazar,Indica-dominant (70%),19.50%
Medi Bomb 1,Indica-dominant,15-20%
Medi Bomb 2,Sativa-dominant,15-20%
Medical 49,Indica-dominant (70%),8%
Medical Kush,Indica-dominant (70%),Medium
Medical Mass,Indica-dominant (60%),10%
Medicine Man,Indica-dominant,Medium
Medijuana CBD,Indica-dominant (80%),Low
Mega Power Plant,Indica (90-100%),Medium
Melon Gum,Indica/sativa (50/50),Medium
Membrana Hiper Autoflowering,Indica/sativa autoflowering,Medium
Mendocino Skunk,Indica-dominant (60%),16-20%
Mendocino x Purple Kush,Indica-dominant (60%),High
Mexican Airlines,Sativa-dominant (70%) autoflowering,19%
Mexican Haze,Sativa-dominant (70%),High
Mexican Sativa,Sativa-dominant (70%),Medium
Michka,Sativa-dominant (80%),Medium
Mickey Kush,Sativa-dominant (75%),High
Micron Auto Tao,Indica-dominant autoflowering,Low
MiG-29 Autoflowering,Indica/sativa autoflowering,High
Mikromachine Autoflowering,Sativa-dominant autoflowering,14-15%
Milky Way,Indica-dominant,High
Missile 33 SuperAuto,Sativa-dominant (60%),
MK-Ultra,Indica-dominant,High
Mkage,Indica/sativa,Medium
Moby Dick,Sativa-dominant (60%),21%
Moby Dick 2,Sativa-dominant (55%),16-20%
Moby Dick Autoflowering,Sativa-dominant (70%) autoflowering,13-17%
Moby Dick CBD,Sativa-dominant (60%),Medium
Moby Dick XXL Autoflowering,Sativa-dominant autoflowering,Medium
Moby XL,Sativa-dominant (65%),19%
Mohan Ram,Indica-dominant (85%),Medium
Mohan Ram Autoflowering,Indica-dominant autoflowering,Medium
Money Maker,Indica-dominant (70%),Medium
Monster,Sativa-dominant (80%),Medium
Monster Dwarf Autoflowering,Indica/sativa autoflowering,Medium
Monster Zkittlez,Indica-dominant (80%),22-23%
Moon Walker Kush,Indica-dominant (80%),High
Morning Glory,Sativa-dominant (60%),High
Moscow Blueberry,Indica/sativa (50/50),18%
Motavation,Indica-dominant,High
Mother’s Finest,Sativa-dominant (70%),High
Mozambica,Sativa (90-100%),Medium
Mystical Blue,Indica-dominant (80%),18%
Nagual,Indica-dominant,8-10%
Narkosis,Indica-dominant,Medium
Nebula,Sativa-dominant (60%),18-22%
Nebula II CBD,Sativa-dominant (60%),4-8%
Nefertiti,Sativa-dominant (80%),22%
Nepal Jam,Sativa-dominant (60%),14-15%
Nepal Kush,Indica (90-100%),Medium
Nepali Queen,Indica-dominant (80%),Medium
Nev OS,Sativa-dominant,High
Nevada Privada,Indica-dominant (60%),Medium
Nevil Bilbo Autoflowering,Sativa-dominant autoflowering,Medium
Neville’s Haze,Sativa (90-100%),20-23%
Neville’s Skunk,Sativa-dominant,High
New Glue,Indica-dominant (80%),27-30%
New York City,Sativa-dominant (70%),Medium
Next Of Kin,Sativa-dominant,21%
Nexus,Sativa-dominant (70%),Medium
NHS,Sativa-dominant,Medium
Nicole Kush,Indica-dominant (75%),Medium
Night Queen,Indica (90-100%),15-20%
Night Shade,Indica-dominant,22%
Nightingale,Indica-dominant,1-10%
NL5 Haze Mist,Sativa-dominant (70%),15%
No Mercy Special,Indica-dominant (60%),Medium
No Name,Indica-dominant (80%),15-20%
Nordle,Indica-dominant,Medium
Northern,Indica-dominant,
Northern Delights Autoflowering,Indica/sativa autoflowering,High
Northern Haze Express,Indica/sativa autoflowering,Medium
Northern Light,Indica (90-100%),18%
Northern Light Blue,Indica (90-100%),20%
Northern Light Blue Autoflowering,Indica-dominant autoflowering,18%
Northern Lights,Indica (90-100%),18%
Northern Lights 5 x Haze,Sativa-dominant (70%),High
Northern Lights 9,Indica-dominant,Medium
Northern Lights Autoflowering,Indica-dominant (90%) autoflowering,14%
Northern Lights x Big Bud Autoflowering,Indica-dominant autoflowering,20%
Northern Lights x Big Bud Ryder,Indica-dominant autoflowering,22%
Northern Lights XL Autoflowering,Indica-dominant autoflowering,14%
Northern Russian Autoflowering,Indica-dominant (70%) autoflowering,19%
Nurse Jackie,Sativa-dominant,21%
NY Purple Diesel,Sativa-dominant,17-19%
Ocean's Twelve Haze,Sativa-dominant,High
OG Bubble Gum,Indica-dominant,19%
OG Bubble Gum Autoflowering,Indica-dominant autoflowering,16%
OG Cheese,Indica (90-100%),Medium
OG Double Bubble,Indica-dominant (80%),18%
OG Kush,Indica-dominant (75%),19-25%
OG Kush Autoflowering,Indica-dominant autoflowering,Medium
OG Kush Autoflowering CBD,Indica-dominant autoflowering,7%
OG Kush CBD,Sativa-dominant (60%),10%
OG Kush x Train Wreck,Indica-dominant,High
OG LA Affie,Indica (90-100%),Medium
OG Lemon Bilbo,Indica-dominant,Medium
OG Reek'n,Indica-dominant (60%),20-23%
OGiesel,Sativa-dominant,Medium
Ogre,Sativa-dominant autoflowering,Medium
Olympia,Indica/sativa (50/50),19%
One To One,Indica/sativa,Low
Onyx Autoflowering,Indica/sativa autoflowering,18%
Opium,Indica/sativa (50/50),17-21%
