Strain,Genetics,THC
Orange Bud,Sativa-dominant,16.50%
Orange Candy,Sativa-dominant (65%),19%
Orange Cream,Sativa-dominant,Medium
Orange Delight,Indica-dominant (70%),Medium
Orange Hill Special,Indica/sativa (50/50),21%
Orient Autoflowering,Indica autoflowering,Medium
Original Amnesia,Sativa-dominant (70%),18%
Original Amnesia Autoflowering,Sativa-dominant (70%) autoflowering,9-13%
Original Cheese,Indica/sativa (50/50),Medium
Original Clon,Indica-dominant,18-20%
Original Glue,Indica-dominant,24-30%
Original Skunk,Indica-dominant,17%
Original Skunk Autoflowering,Indica-dominant (70%) autoflowering,15%
Original White Widow,Indica/sativa (50/50),18-22%
Ortega,Indica-dominant,Medium
Ortega Indica,Indica-dominant,13-17%
Outlaw,Sativa-dominant (80%),15-20%
OZ Kush,Indica-dominant (70%),Medium
O’Haze Red,Sativa-dominant,High
Painkiller,Indica-dominant,High
Painkiller XL,Sativa-dominant (75%),9%
Pakistan Chitral Kush,Indica (90-100%),12%
Pakistan Ryder,Indica-dominant autoflowering,20%
Pamir Gold,Indica-dominant (60%),Medium
Panama,Sativa (100%),15-21%
Panama D.C.,Indica/sativa,Medium
Panama Haze,Sativa (90-100%),18-23%
Pandemia Kush,Sativa-dominant (60%),Medium
Pandora,Indica-dominant (70%) autoflowering,15-19%
Pandora's Box,Indica-dominant (60%),Medium
Papaya,Indica/sativa,20-25%
Passion 1,Indica-dominant,18.60%
Passion Fruit,Indica/sativa,20%
Pennywise,Indica-dominant (80%),12-15%
Peppermint Kush,Indica (90-100%),High
Petrodollar,Indica-dominant (60%),High
Peyote Cookies,Indica (90-100%),High
Peyote Critical,Indica (90-100%),High
Phantom OG,Sativa-dominant (55%),Medium
Phat Freddy,Indica-dominant (80%),High
Phatt Fruity,Indica-dominant (70%),19%
Philo Skunk,Indica-dominant (60%),20%
Pina Rita,Sativa-dominant (80%),Medium
Pineapple Chunk,Indica-dominant (80%),High
Pineapple Express Autoflowering,Indica-dominant (70%) autoflowering,Medium
Pineapple Haze,Sativa-dominant (65%),Medium
Pineapple Kush,Indica-dominant,18%
Pineapple Punch,Indica-dominant autoflowering,High
Pineapple Skunk,Indica-dominant (70%),15%
Pineapple Slick,Sativa-dominant,22%
Pink Floyd,Sativa-dominant,Medium
Pink Kush,Indica (100%),High
Pink Plant,Sativa-dominant (85%),17-21%
Pipi,Sativa-dominant (60%),17%
Polar Express,Indica-dominant autoflowering,Medium
PolarLight 3,Sativa-dominant autoflowering,Medium
POW 33,Indica-dominant,High
Power Flower,Sativa-dominant,19+%
Power Kush,Indica/sativa (50/50),12-16%
Power Kush Autoflowering,Indica-dominant autoflowering,14%
Power Plant,Sativa-dominant,20%
Power Plant XL,Sativa-dominant,20%
Power Plant XL Autoflowering,Sativa-dominant autoflowering,15%
Power Skunk,Indica-dominant (85%),Medium
Princess Haze,Sativa-dominant,High
Professor Chaos,Sativa-dominant,Medium
Prozack,Indica-dominant (80%),Medium
Psicodelicia,Sativa-dominant (70%),Medium
Psycho Crack,Sativa-dominant (70%),19%
Pulsar,Sativa (90-100%),Medium
Punky Lion,Indica (90-100%),18%
Pure Kush,Indica-dominant (70%),19.35%
Pure Power Plant,Sativa-dominant (60%),High
Pure Power Plant Autoflowering,Indica/sativa autoflowering,Medium
Purgatory,Indica-dominant (80%),High
Purple 1,Indica/sativa (50/50),Medium
Purple Afghan Kush,Indica-dominant,15-21%
Purple Bud,Indica-dominant (75%),Medium
Purple Cheddar,Indica-dominant,Medium
Purple Chem,Indica-dominant,Medium
Purple Glue,Indica-dominant,25-28%
Purple Haze,Sativa-dominant (70%),High
Purple Kush,Indica-dominant (75%),High
Purple Moby Dick,Sativa-dominant (60%),21%
Purple OG 18,Indica-dominant (70%),Medium
Purple Orange CBD,Sativa-dominant (60%),5%
Purple Pinecone,Indica-dominant,Medium
Purple Queen,Indica-dominant (75%),22%
Purple Romulan,Indica-dominant,Medium
Purple Ryder,Indica-dominant autoflowering,Medium
Purple Sirius Kush Autoflowering,Indica-dominant (60%) autoflowering,17%
Purple Stilton,Indica-dominant,15-18%
Purple Stilton Autoflowering,Indica-dominant autoflowering,Medium
Purple Trainwreck,Indica-dominant (65%),15-17%
Purps 1,Indica-dominant,High
Qleaner,Sativa-dominant (60%),17-20%
Qrazy Train,Indica/sativa (50/50),Medium
Queen Anne's Revenge,Indica/sativa (50/50),Medium
Queen of Soul,Sativa-dominant,Medium
Querkle,Indica-dominant (80%),Medium
Queso Fuertes,Sativa-dominant (70%),Medium
Quick Critical+,Indica-dominant (75%),16-20%
Quick Kush,Indica-dominant (75%),18-25%
Quick One,Indica-dominant (60%) autoflowering,13%
Qush,Indica-dominant (70%),Medium
Rainbow Jones,Indica/sativa,Medium
Ramses,Sativa-dominant (80%),18%
Raspberry Cough,Sativa-dominant,High
Raspberry Diesel,Sativa-dominant (65%),18-21%
Raspberry Waffles CBD,Sativa-dominant (70%),Medium
Rawdawg,Indica-dominant (70%),23%
Ray's Choice,Sativa-dominant (80%),High
ReCon,Indica-dominant (80%),Medium
Red Cherry Berry,Indica-dominant (70%),18%
Red Diesel,Indica/sativa (50/50),High
Red Dragon,Sativa-dominant (60%),23%
Red Dwarf,Indica-dominant autoflowering,Medium
Red Poison Autoflowering,Indica/sativa autoflowering,Medium
Red Purps,Indica-dominant,Medium
Remo Chemo,Indica-dominant (65%),24%
René,Indica-dominant,Medium
Respect,Sativa-dominant,Medium
Rhino Ryder,Indica/sativa autoflowering,15-20%
Ripped Bubba,Indica-dominant,Medium
Ripper Haze,Sativa-dominant (80%),High
Roadrunner 2 Autoflowering,Indica-dominant autoflowering,Medium
Rockbud,Indica-dominant (80%),Medium
Rocklock,Indica-dominant (80%),Medium
Rollex OG Kush,Indica-dominant (60%),20-23%
Romulan,Indica-dominant,High
Romulan Diesel,Indica/sativa,Medium
Romulan Grapefruit,Indica-dominant,High
Romulan Haze,Sativa-dominant,High
Romulan ISS,Indica/sativa,21%
Romulan Kush,Indica-dominant,Medium
Roof 95,Indica (90-100%),Medium
Roots,Indica-dominant,
Rosetta Stone,Indica/sativa,Medium
Rotten Panda,Indica/sativa,Medium
Royal AK,Sativa-dominant (60%),19+%
Royal AK Autoflowering,Indica/sativa autoflowering,15%
Royal Bluematic,Indica-dominant (60%) autoflowering,14%
Royal Cheese (Fast Flowering),Indica-dominant (60%),17%
Royal Cheese Autoflowering,Indica-dominant autoflowering,15%
Royal Cookies,Indica-dominant (80%),23%
Royal Cookies Autoflowering,Indica-dominant (60%) autoflowering,18%
Royal Creamatic,Indica-dominant (60%),15%
Royal Critical Autoflowering,Indica-dominant autoflowering,14%
Royal Domina,Indica-dominant (85%),20%
Royal Dwarf,Sativa-dominant (60%) autoflowering,13%
Royal Gorilla,Indica/sativa (50/50),27%
Royal Gorilla Autoflowering,Indica-dominant autoflowering,20%
Royal Haze Autoflowering,Sativa-dominant autoflowering,15%
Royal Highness,Sativa-dominant (60%),14%
Royal Jack Autoflowering,Sativa-dominant autoflowering,16%
Royal Kush Autoflowering,Indica-dominant autoflowering,13-15%
Royal Madre,Sativa-dominant (70%),18+%
Royal Medic,Sativa-dominant (75%),10%
Royal Moby,Sativa-dominant (65%),21%
Royal Queen,Indica-dominant (75%),High
Royale Haze,Sativa-dominant (85%),16-20%
Ruderalis Indica,Indica (90-100%),Low
Ruderalis Skunk,Indica-dominant (70%),Medium
Russian Doll,Sativa-dominant (70%),Medium
Russian Snow,Indica (90-100%),18%
Rusty Haze,Sativa-dominant (80%),High
S.A.D. Autoflowering,Indica-dominant autoflowering,Medium
S.A.D. Sweet Afgani Delicious CBD,Indica-dominant (60%),5-11%
S.A.D. Sweet Afgani Delicious S1,Indica (90-100%),15-20%
S.A.G.E. CBD,Indica/sativa,Medium
San Fernando Lemon Kush,Sativa-dominant (65%),14-21%
Sandstorm,Indica (90-100%),15%
Sangria,Indica-dominant (60%),Medium
Santa Maria,Sativa-dominant (75%),Medium
Santa Muerte,Sativa (90-100%),18-20%
Santa Sativa,Sativa-dominant (70%),16-20%
Scarlet Queen,Sativa-dominant (60%),Medium
Scott’s OG,Indica-dominant,High
Sensi Skunk,Indica-dominant (80%),Medium
Sensi Skunk Autoflowering,Indica-dominant (80%) autoflowering,Medium
Sensi Star,Indica (90-100%),18-22%
Serious 6,Sativa (90-100%),17%
Serious Happiness,Indica/sativa,High
Serious Kush,Indica-dominant,High
SexBud,Sativa-dominant,Medium
Shaman,Sativa-dominant (75%),Medium
Shark,Indica-dominant (80%),14-16%
Shark Attack,Indica-dominant (70%),12-16%
Shark Shock,Indica-dominant,Medium
Shark Shock CBD,Indica-dominant (80%),6%
Shark Widow,Indica (90-100%),17%
Shark Widow CBD,Indica-dominant,6%
Sharksbreath,Indica-dominant (80%),Medium
Shining Silver Haze,Sativa-dominant (75%),21%
ShiskaBerry,Indica (100%),Medium
Shit,Indica-dominant,Medium
Shiva Shanti,Indica-dominant (85%),Medium
Shiva Shanti 2,Indica-dominant (75%),Medium
Shiva Skunk,Indica-dominant (85%),Medium
Shiva Skunk Autoflowering,Indica-dominant (80%) autoflowering,Medium
Shivawreck,Sativa-dominant (80%),Medium
Shoreline,Indica-dominant (60%),19-21%
Siberian Haze,Sativa-dominant (65%),22%
Siberian Haze Autoflowering,Sativa-dominant autoflowering,18%
Silver Cheese,Sativa-dominant (75%),Medium
Silver Haze,Sativa-dominant (80%),High
Silver Haze 9,Sativa-dominant (80%),High
Silver LA,Indica-dominant (60%),Medium
Silver Star Haze,Sativa-dominant (60%),19%
Silver Surfer Haze,Sativa,High
Sin City Kush,Indica-dominant,High
Sin Tra Bajo Autoflowering,Indica-dominant autoflowering,Low
Sir Jack,Sativa-dominant (70%),High
Sir Jack Autoflowering,Indica/sativa autoflowering,Medium
Sister Glue,Indica-dominant,24-30%
Six Shooter,Indica/sativa autoflowering,21%
Skunk,Indica-dominant (80%),17%
Skunk 1,Indica-dominant (65%),Medium
Skunk 1 Autoflowering,Indica-dominant (65%) autoflowering,Medium
Skunk 11,Sativa-dominant,Medium
Skunk 47,Indica (90-100%),20-23%
Skunk Afghani,Indica/sativa,19%
Skunk Autoflowering,Indica-dominant (60%) autoflowering,Medium
Skunk Classic,Indica/sativa (50/50),Medium
Skunk Haze,Indica/sativa,Medium
Skunk Kush,Indica-dominant (60%),Medium
Skunk XL,Indica/sativa (50/50),17%
Skyscraper Kush,Sativa-dominant (70%),Medium
Skywalker Kush,Indica-dominant,High
Sleepy Yoda Autoflowering,Indica-dominant autoflowering,20%
Sleestack,Sativa-dominant (70%),Medium
Smurfberry,Indica-dominant autoflowering,Medium
Snow Bud,Sativa-dominant (60%),Medium
Snow White,Indica-dominant (65%),Medium
So G Kush,Indica-dominant (80%),High
SoGouda,Indica-dominant (70%),Medium
Solo Ryder,Indica-dominant autoflowering,Low
Somalicious,Indica-dominant (85%),Medium
Somango,Indica-dominant (75%),Medium
Somango 47,Indica-dominant,18%
Somango Widow,Indica-dominant,17%
Somango XL,Indica-dominant (75%),18+%
Sonic Screwdriver,Sativa-dominant (75%),15-16%
Sour Banana Sherbet,Indica/sativa (50/50),Medium
Sour Blueberry,Sativa-dominant (60%),14%
Sour Chiesel Autoflowering,Indica-dominant (85%) autoflowering,Medium
Sour Cream,Sativa-dominant (70%),High
Sour Diesel,Sativa-dominant (70%),19%
Sour Diesel 2,Sativa-dominant (70%),17-20%
Sour Diesel Autoflowering,Sativa-dominant autoflowering,Medium
Sour Jack,Sativa-dominant,Medium
Sour Kosher,Sativa-dominant (70%),High
Sour Kush,Indica-dominant (70%),Medium
Sour P,Sativa-dominant (55%),20-22%
Sour Pink Grapefruit,Indica/sativa,Medium
Sour Secret,Indica-dominant (80%),High
Sour Star,Indica/sativa,Medium
Sour Tangie,Sativa-dominant (80%),Medium
SourPower,Sativa-dominant,High
South Star,Indica/sativa (50/50),High
Space Bomb,Sativa-dominant (60%),15%
Space Cookies,Indica-dominant (60%),18-22%
Space Queen,Indica/sativa (50/50),Medium
Special Kush,Indica-dominant (60%),17%
Special Kush 1,Indica-dominant (80%),17%
Special Queen 1,Indica/sativa (50/50),18%
Speed Devil 2 Autoflowering,Indica-dominant autoflowering,Low
Speedy Boom Autoflowering,Sativa-dominant autoflowering,13%
Speedy Chile (Fast Flowering),Indica-dominant (70%),16%
Spice,Indica/sativa,Medium
Spicy CBD,Sativa-dominant (70%),8%
Spicy White Devil,Sativa-dominant (65%),21%
Spiritual Punk,Indica (100%),18%
Spoetnik 1,Indica (90-100%),18-22%
SPR Haze,Sativa-dominant,High
Sra. Amparo,Sativa-dominant,Medium
SSSDH x Jack,Sativa-dominant,High
Stacked Kush,Sativa-dominant (60%),Medium
Star Killer,Indica-dominant (70%),Medium
StarBerry,Indica-dominant,Medium
StarBud,Indica-dominant,Medium
Stardust Autoflowering,Indica/sativa,
StarRyder,,15-19%
Sterling Haze,Sativa-dominant,High
Sticky Beast Autoflowering,Indica-dominant (60%) autoflowering,16%
Strawberries and Cream,Sativa-dominant,Medium
Strawberry AKeil,Sativa-dominant,High
Strawberry Amnesia,Sativa-dominant,20-22%
Strawberry Banana,Indica-dominant (70%),Medium
Strawberry Blue,Sativa-dominant (75%),20%
Strawberry Cough,Sativa-dominant (80%),Medium
Strawberry D-Lite,Indica/sativa,Medium
Strawberry Daiquiri,Sativa-dominant (70%),Medium
Strawberry Glue,Indica-dominant,28%
Strawberry Shortcake,Sativa-dominant,18-22%
Strawberry Skunk,Indica-dominant (75%),Medium
Strawberry Sour Diesel,Sativa-dominant (75%),19-22%
Strawberry Sour Haze,Indica/sativa,Medium
Stress Killer Autoflowering CBD,Sativa-dominant (60%) autoflowering,11%
Sucker Punch,,20%
Sugar Baby Autoflowering,Indica-dominant autoflowering,Medium
Sugar Black Rose,Indica-dominant (80%),18-20%
Sugar Candy,Indica-dominant (60%),25%
Sugar Gom,Sativa-dominant,Medium
Sugar Mango Ryder,Indica-dominant autoflowering,18%
Sugar Pop,Sativa-dominant (60%),18%
Sunshine,Sativa-dominant (70%),High
Super Automatic Sativa S.A.S.,Sativa-dominant autoflowering,Medium
Super Bud,Indica-dominant (80%),17.33%
Super Bud Autoflowering,Indica/sativa autoflowering,Medium
Super Cheese Express,Indica-dominant autoflowering,Medium
Super Critical,Indica-dominant (70%),Medium
Super Critical Autoflowering,Indica-dominant (80%) autoflowering,Medium
Super Crystal,Indica-dominant,High
Super Hash,Indica (90-100%),20%
Super Lemon Haze,Sativa-dominant (70%),19%
Super Lemon Haze Auto CBD,Sativa-dominant (60%) autoflowering,5-8%
Super Lemon Haze Autoflowering,Sativa-dominant autoflowering,Medium
Super Lemon Haze CBD,Sativa-dominant (70%),9-12%
Super OG Kush,Indica-dominant (80%),20%
Super Silver,Sativa (90-100%),High
Super Silver Bilbo,Sativa-dominant,High
Super Silver Haze,Sativa-dominant (70%),21%
Super Silver Haze Autoflowering,Sativa-dominant autoflowering,17%
Super Silver Haze CBD,Sativa-dominant (70%),8-14%
Super Silver Sour Diesel Haze,Sativa-dominant,High
Super Skunk,Indica-dominant (80%),Medium
Super Skunk Autoflowering,Indica-dominant (80%) autoflowering,14%
Super Sour Skunk,Sativa-dominant,15%
Supercheese,Indica/sativa,Medium
Superglue,Indica-dominant (60%),18-19%
Supreme CBD Durban,Sativa-dominant (70%),8%
Supreme CBD Kush,Sativa-dominant (70%),9.50%
Swazi Gold,Sativa (90-100%),High
Sweet 'N Sour Indoor,Sativa-dominant (80%),Medium
Sweet Amnesia Haze,Sativa-dominant (70%),16-22%
Sweet Black Angel,Indica-dominant (80%),18%
Sweet Bubble,Sativa-dominant (60%),19%
Sweet Candy,Indica-dominant (70%),17%
Sweet Candy Autoflowering,Indica-dominant (60%) autoflowering,15%
Sweet Cheese,Sativa-dominant (70%),15-20%
Sweet Cheese Autoflowering,Sativa-dominant autoflowering,15-20%
Sweet Coffee Ryder,Sativa-dominant autoflowering,19%
Sweet Deep Grapefruit,Indica-dominant (80%),12-19%
Sweet Kush,Indica-dominant,Medium
Sweet Love,Sativa-dominant (60%),16%
Sweet Mango Autoflowering,Indica-dominant (80%) autoflowering,15%
Sweet Moby,Sativa-dominant,High
Sweet Nurse Auto CBD,Indica-dominant (60%) autoflowering,5-10%
Sweet Pink Grapefruit,Indica/sativa,Medium
Sweet Pure CBD,Sativa-dominant (60%),0.4-1%
Sweet Purple,Indica/sativa (50/50),Medium
Sweet Skunk Autoflowering,Indica-dominant (60%) autoflowering,15%
Sweet Special Autoflowering,Indica-dominant (60%) autoflowering,Medium
Sweet Tai,Sativa-dominant (70%),Medium
Sweet Tooth,Indica-dominant (70%),20%
Sweet Tooth Autoflowering,Indica-dominant (60%) autoflowering,Low
Sweet Trainwreck Autoflowering,Indica/sativa autoflowering,17-20%
Swiss Cheese,Indica-dominant,Medium
Swiss Dream Auto CBD,Sativa-dominant autoflowering,0.60%
Swiss Dream CBD,Sativa-dominant,0.22%
Syrup,Indica-dominant autoflowering,Medium
T99,Indica-dominant (80%),High
Tahoe OG Kush,Sativa-dominant,Medium
Taiga 2,Indica/sativa autoflowering,High
Taison Autoflowering,Indica-dominant autoflowering,Medium
Tangerine Dream,Indica-dominant (70%),25%
Tangerine Dream Autoflowering,Indica-dominant (80%) autoflowering,12-15%
Tangerine G13,Indica-dominant (60%),Medium
Tangie,Sativa-dominant (70%),Medium
Tangie Ghost Train,Sativa-dominant,High
Tangie'matic,Sativa-dominant autoflowering,21-22%
Tangilope,Sativa-dominant (80%),Medium
Tank,Sativa,
Tasman Haze,Sativa-dominant,High
Temple Haze,Sativa-dominant (70%),High
Thai,Sativa (100%),18-22%
Thai Fantasy,Sativa-dominant (65%),Medium
THC Bomb,Indica/sativa (50/50),20-25%
THC Bomb Autoflowering,Indica/sativa autoflowering,18-22%
THC Bunker Buster,Indica-dominant (80%),18%
The Bulldog Chronic,Indica-dominant,Medium
The Bulldog Haze,Sativa-dominant (60%),High
The Church,Indica-dominant (60%),20%
The Church CBD,Indica-dominant (60%),8-11%
The Cure,Sativa-dominant,Medium
The Dark Side,Sativa-dominant (60%),Medium
The Doctor,Indica-dominant (70%),17%
The Edge,Sativa-dominant (75%),17-21%
The Kali,Indica (90-100%),Medium
The OG 18,Indica-dominant,High
The OX,Indica-dominant,Medium
The Stones,Sativa-dominant,Medium
The Third Dimension,Sativa-dominant (60%),16%
The Tombs,Sativa-dominant,Medium
The True OG,Indica-dominant,25-27%
The Ultimate,Indica/sativa (50/50),20%
The Void,Sativa-dominant (60%),Medium
Think Big,Sativa-dominant autoflowering,Medium
Think Different,Sativa-dominant autoflowering,16-18%
Think Fast,Sativa-dominant,Medium
Thunder Bloody Mary Autoflowering,Indica-dominant autoflowering,21%
Tijuana,Sativa (90-100%),High
Tikal,Sativa-dominant (75%),15-20%
Timanfaya Autoflowering,Sativa-dominant autoflowering,Medium
Timewarp,Indica-dominant,16%
TNT Kush,Indica (90-100%),18-22%
TNT Kush CBD,Indica-dominant,10%
Top 44,Indica-dominant,Medium
Top Dawg,Sativa-dominant (60%),Medium
Tora Bora,Indica (90-100%),Medium
Torpedo,Indica/sativa (50/50),High
Toxic,Sativa-dominant (60%),Medium
Toxic Blue 33,Indica-dominant,Medium
Train Wreck,Indica-dominant (60%),20-22%
Trans Love,Sativa-dominant,Medium
Trans Siberian,Indica/sativa autoflowering,High
Transkei,Sativa (90-100%),Medium
Triangle Kush Cookies,Indica-dominant,High
Triple Cheese,Indica-dominant (80%),High
Tropimango,Indica-dominant (70%),18%
True Blueberry,Indica-dominant,High
Trueberry,Indica-dominant,Medium
Tundra 2,Indica-dominant autoflowering,Medium
Turing Autoflowering,Indica-dominant autoflowering,16%
Tutankhamon,Sativa-dominant (60%),23%
Twilight,Indica-dominant,10-15%
Txaki,Sativa-dominant,7%
Txees Bilbo,Indica-dominant,Medium
Txomango,Indica-dominant,Medium
U2,Sativa-dominant,Medium
UK Cheese Autoflowering,Indica-dominant (70%) autoflowering,13-16%
Ultra Lemon Haze,Sativa-dominant autoflowering,High
Ultra Skunk,Sativa-dominant (60%),11%
Ultra Sour Kush,Sativa-dominant (70%),Medium
Ultra White Amnesia,Sativa-dominant (75%),22%
Ultraviolet Autoflowering,Sativa-dominant autoflowering,21%
UnderDawg Kush,Sativa-dominant (60%),Medium
Unknown Kush,Indica/sativa,21%
Utopia Haze,Sativa (90-100%),22%
Vanilla Haze,Sativa-dominant,Medium
Vanilla ICE,Indica-dominant,17%
Vanilla Ice Autoflowering,Indica-dominant autoflowering,13%
Vanilla Kush,Indica-dominant (80%),High
Vanilluna,Indica/sativa,Medium
Veneno,Indica-dominant (85%),18-20%
Vertigo,Indica/sativa autoflowering,15-19%
Viagrra,Indica/sativa (50/50),High
Violator Kush,Indica-dominant (80%),22%
Violeta,Indica-dominant (60%),12-17%
VIP Autoflowering,Sativa-dominant (70%) autoflowering,Medium
Viper,Sativa-dominant,Medium
Vision Jack Autoflowering,Indica-dominant autoflowering,16%
Vision Kush Autoflowering,Indica-dominant (70%) autoflowering,19%
Vortex,Sativa-dominant (80%),18%
Wacky Widow,Indica-dominant (60%),16-19%
Walkabout,Sativa-dominant,Medium
Wappa,Indica-dominant (60%),Medium
Warlock,Indica-dominant,High
Washing Machine,Indica-dominant (80%),High
Wembley,Indica-dominant (80%),Medium
West Coast OG,Indica-dominant autoflowering,21%
Western Winds,Sativa-dominant,Medium
Where's My Bike,Sativa-dominant,High
Whitaker Blues,Indica-dominant (80%),Medium
White Alien,Sativa-dominant (60%),High
White Berry,Indica-dominant (75%),Medium
White Cheese Autoflowering,Indica-dominant (90%) autoflowering,9-13%
White Choco,Indica/sativa (50/50),19%
White Choco Haze,Sativa-dominant (80%),20%
White Critical Express,Indica-dominant (70%),21%
White Diesel,Indica-dominant (60%),High
White Diesel Haze Autoflowering,Sativa-dominant (70%) autoflowering,Medium
White Domina,Indica (90-100%),High
White Gold,Indica-dominant (60%),Medium
White ICE,Indica-dominant (80%),Medium
White Kush,Indica (90-100%),17%
White Lemon,Indica/sativa (50/50),Medium
White OG,Indica-dominant,High
White Panther,Indica/sativa,Medium
White Rhino,Indica-dominant (80%),20%
White Russian,Indica-dominant,High
White Siberian,Indica-dominant (75%),22%
White Skunk,Indica-dominant (65%),Medium
White Skunk Autoflowering,Indica-dominant (65%) autoflowering,Medium
White Spanish,Sativa-dominant,High
White Strawberry Skunk,Indica/sativa (50/50),Medium
White Walker Kush,Sativa-dominant (60%),Medium
White Widow,Indica-dominant (60%),20-22%
White Widow Autoflowering,Indica-dominant autoflowering,12%
White Widow Autoflowering CBD,Indica-dominant autoflowering,5%
White Widow Haze,Sativa-dominant,20%
White Widow x Big Bud,Indica/sativa (50/50),Medium
White Widow x Critical,Indica-dominant (80%),20%
White Widow XL,Indica-dominant,19%
White Widow XXL Autoflowering,Indica-dominant autoflowering,Medium
White Willow,Indica-dominant (65%),High
White Yoda Autoflowering,Indica-dominant autoflowering,Medium
Widow Bomb,Indica-dominant (60%),20-25%
Widow Remedy,Sativa-dominant (60%),Medium
Wild Rose,Sativa-dominant (65%),15-20%
William's Wonder,Indica (100%),20-21%
Wombat,Sativa-dominant (70%),18-20%
Wonder Kush,Indica-dominant,20%
Wonder Woman,Indica-dominant,Medium
Wreckage,Indica/sativa,Medium
X Haze,Sativa-dominant (60%),Medium
Yellowstone,Sativa-dominant (60%),Medium
Yumbolt,Indica-dominant,Medium
Yummy,Sativa-dominant (60%),19-23%
Zamal Reunion,Sativa (90-100%),High
Zamaldelica,Sativa (90-100%),17-27%
Zen,Sativa-dominant,Medium
Zensation,Indica-dominant (75%),20-24%
Zim-Licious,Sativa (90-100%),Unknown
Zkittlez,Indica-dominant (70%),15%
Zkittlez Autoflowering,Indica-dominant autoflowering,High
Zombie Kush,Indica-dominant (80%),High
Zuri Widow,Indica-dominant,15%
+Speed Autoflowering,Indica-dominant autoflowering,15-20%
1024,Sativa-dominant (70%),20-25%
2 Pounder,Sativa-dominant (70%),High
2046,Sativa (90-100%),High
24k Gold,Indica-dominant (60%),18-24%
501st OG,Indica-dominant,High
5th Element,Indica-dominant,Medium
60 Day Lemon,Indica-dominant (80%) autoflowering,Low
60 Day Wonder,Indica-dominant (90%) autoflowering,Low
707 Headband,Sativa-dominant (70%),19-23%
707 Truthband,Indica-dominant (70%),19-23%
7th Wave,Indica-dominant,15-20%
8 Ball Kush,Indica (90-100%),20%
818 Headband,Indica/sativa,Medium
9 Pound Hammer,Indica-dominant (80%),25%