Strain,Type,Pct,THC_max,THC_avg
East Coast Alien,sativa,70% Leaning,20.00%,18.00%
Eastern European,hybrid,50%,,
Easy Bud,sativa,20%,17.00%,14.00%
Easy Peezy,hybrid,50%,18.00%,16.00%
Ebola #7,indica,75% Leaning,28.00%,27.00%
Ed Rosenthal Super Bud,indica,60% Leaning,19.00%,14.50%
Edelweiss,indica,75% Leaning,21.00%,21.00%
El Jefe,indica,70% Leaning,25.00%,22.00%
El Nino,indica,65% Leaning,15.00%,13.00%
El Perro,hybrid,50%,20.00%,20.00%
El-Na,indica,70% Leaning,10.00%,9.00%
Elderberry,indica,55%,20.00%,18.00%
Eldorado,sativa,100%,20.00%,17.00%
Electric Black Mamba,indica,70% Leaning,24.00%,18.00%
Electric Kool-Aid,sativa,60% Leaning,20.00%,20.00%
Electric Lemon G,sativa,80% Leaning,21.00%,18.00%
Electric Lemonade,sativa,70% Leaning,21.00%,16.00%
Elmer's Glue,indica,60% Leaning,24.00%,18.00%
Elvis,sativa,75% Leaning,22.00%,16.00%
Emerald Jack,sativa,70% Leaning,20.00%,15.00%
Emerald OG,indica,70% Leaning,22.00%,19.00%
Endless Sky,indica,80% Leaning,22.00%,22.00%
Enemy of the State,indica,80% Leaning,14.00%,10.00%
Enigma,sativa,70% Leaning,24.00%,18.00%
Ether,indica,70% Leaning,21.00%,18.00%
Ethiopian,sativa,100%,15.00%,10.00%
Euforia ,sativa,80% Leaning,23.00%,19.00%
Eugene Cream,indica,80% Leaning,16.00%,15.00%
Euphoria,indica,80% Leaning,6.00%,5.00%
Ewok,indica,60% Leaning,19.00%,14.00%
Exile,indica,70% Leaning,18.00%,14.00%
Exodus Cheese,hybrid,50%,18.00%,14.00%
Extreme OG,indica,70% Leaning,30.00%,28.00%
F.O.G.,sativa,80% Leaning,21.00%,13.00%
Face Off OG,hybrid,50%,20.00%,20.00%
Fallen Angel,indica,85% Leaning,18.00%,14.00%
Fat Albert,indica,70% Leaning,22.00%,18.00%
Fat Nelson,sativa,70% Leaning,22.00%,22.00%
Fifth Element,indica,70% Leaning,22.00%,18.00%
Fire Alien Kush,hybrid,50%,20.00%,20.00%
Fire Haze,sativa,70% Leaning,20.00%,20.00%
Fire OG Kush,indica,70% Leaning,20.00%,15.00%
Flash Back,sativa,70% Leaning,18.00%,14.00%
Flo,sativa,60% Leaning,14.00%,12.00%
Flo Walker,indica,60% Leaning,18.00%,15.00%
Flowerbomb Kush,sativa,70% Leaning,19.00%,14.00%
Flying Dragon,hybrid,50%,18.00%,10.00%
Forbidden Fruit,indica,70% Leaning,26.00%,25.00%
Fortune Cookies,sativa,70% Leaning,24.00%,20.00%
Four Cups,indica,70% Leaning,,
Four Star General,indica,70% Leaning,30.00%,22.00%
Fraggle Rock,hybrid,50%,21.00%,17.00%
Frank's Gift,sativa,80% Leaning,9.00%,6.00%
Frankenstein,indica,80% Leaning,29.00%,19.00%
Frida,indica,100%,1.00%,1.00%
Frostbite,sativa,85% Leaning,21.00%,21.00%
Frosty,indica,65% Leaning,22.00%,20.00%
Fruit Loops,indica,55%,19.00%,18.00%
Fruit Punch,sativa,80% Leaning,25.00%,20.00%
Fruit Spirit,sativa,60% Leaning,20.00%,19.00%
Fruity Chronic Juice,indica,90%,20.00%,17.00%
Fruity Pebbles,indica,55%,22.10%,12.00%
Fucking Incredible,indica,100%,18.00%,15.00%
Full Moon,sativa,100%,24.00%,20.00%
Future ,hybrid,50%,24.00%,24.00%
G Force,indica,80% Leaning,26.00%,20.00%
G-13,indica,70% Leaning,27.00%,16.00%
G.O.A.T.,sativa,70% Leaning,19.00%,15.00%
G13 Haze,indica,70% Leaning,24.00%,22.00%
Galactic Jack,sativa,70% Leaning,26.00%,16.00%
Game Changer,indica,60% Leaning,29.00%,20.00%
Garlic Bud,indica,100%,20.00%,19.00%
Gas,indica,100%,21.00%,19.00%
Gelato,hybrid,50%,25.00%,20.00%
Gemstone,hybrid,50%,21.00%,20.00%
Georgia Pine,hybrid,50%,20.00%,19.00%
Ghost Bubba,indica,80% Leaning,23.00%,19.00%
Ghost OG,indica,75% Leaning,20.00%,15.00%
Ghost Ship,indica,70% Leaning,20.00%,18.00%
Ghost Train Haze,sativa,75% Leaning,25.00%,18.00%
GI001,sativa,70% Leaning,1.00%,0.90%
Gigabud,indica,60% Leaning,19.00%,15.00%
Glad Max,hybrid,50%,21.00%,17.00%
Glass Slipper,sativa,70% Leaning,25.00%,20.50%
Glue Tech,indica,70% Leaning,24.00%,21.00%
Go Time,sativa,70% Leaning,32.00%,26.00%
Gobbstopper,hybrid,50%,21.00%,17.00%
God Bud,indica,60% Leaning,27.00%,18.50%
God's Bubba,indica,70% Leaning,25.00%,19.00%
God's Gift,indica,90%,24.60%,18.00%
God's Green Crack,hybrid,50%,25.00%,20.00%
God's Treat,indica,75% Leaning,22.00%,19.00%
Godfather OG,indica,60% Leaning,28.00%,25.00%
Godzilla,indica,60% Leaning,18.00%,15.00%
Goji OG,hybrid,50%,22.00%,20.00%
Golden Goat,sativa,65% Leaning,23.30%,16.00%
Golden Panda,sativa,70% Leaning,30.00%,22.00%
Golden Pineapple,hybrid,50%,29.00%,25.00%
Golden Ticket,hybrid,50%,26.00%,17.00%
Golden Tiger,sativa,90%,24.00%,18.00%
Goo,indica,80% Leaning,24.00%,19.00%
Gooberry,hybrid,50%,20.00%,18.00%
Good Medicine,sativa,70% Leaning,8.00%,7.00%
Gorilla Glue,hybrid,50%,28.00%,25.00%
Gorilla Glue #12,sativa,70% Leaning,30.00%,24.00%
Gorilla Glue #5,indica,70% Leaning,28.00%,26.00%
Grand Daddy Purple,indica,75% Leaning,23.00%,17.00%
Grand Hindu,indica,90%,30.00%,27.00%
Grand Hustle,hybrid,50%,23.00%,19.00%
Grand Poobah,indica,75% Leaning,22.00%,19.00%
Grandpa Larry OG,indica,100%,19.00%,18.00%
Grape Ape,indica,100%,25.00%,16.00%
Grape Cookies,indica,70% Leaning,24.00%,19.00%
Grape Crush,indica,50%,19.00%,15.00%
Grape God,indica,60% Leaning,25.00%,15.00%
Grape Kush,sativa,60% Leaning,30.00%,20.00%
Grape Royale,indica,80% Leaning,28.00%,18.00%
Grape Skunk,indica,85% Leaning,24.00%,24.00%
Grape Stomper,sativa,60% Leaning,22.00%,16.00%
Grapefruit,sativa,70% Leaning,20.00%,15.00%
Grapefruit Haze,hybrid,50%,25.00%,20.00%
Gravity,hybrid,50%,20.00%,20.00%
Grease Monkey,hybrid,50%,30.00%,26.00%
Great White Shark,indica,75% Leaning,24.00%,14.00%
Green Avenger,hybrid,50%,22.00%,20.00%
Green Candy,hybrid,50%,24.00%,19.00%
Green Crack,sativa,65% Leaning,24.00%,16.80%
Green Crack Extreme,sativa,65% Leaning,24.00%,22.00%
Green Dragon,indica,100%,16.00%,14.00%
Green Dream,hybrid,50%,24.00%,19.00%
Green Goblin,sativa,65% Leaning,24.00%,20.00%
Green Goddess,indica,70% Leaning,20.00%,16.00%
Green Haze,sativa,100%,28.00%,26.00%
Green Hornet,hybrid,50%,20.00%,20.00%
Green Lantern,sativa,85% Leaning,28.00%,22.00%
Green Love Potion,indica,80% Leaning,24.00%,17.00%
Green Monster,hybrid,50%,27.00%,18.00%
Green Poison,indica,70% Leaning,20.00%,17.00%
Green Python,indica,85% Leaning,22.00%,21.00%
Green Queen,indica,60% Leaning,18.00%,14.00%
Green Ribbon,hybrid,50%,28.00%,20.00%
Grilled Cheese,indica,60% Leaning,20.00%,19.00%
Gucci OG,hybrid,50%,30.00%,20.00%
Haole,indica,70% Leaning,17.00%,14.00%
Happy Kush,indica,80% Leaning,19.00%,14.00%
Happy Nightmare,indica,60% Leaning,19.00%,13.00%
Harambe's Ghost,hybrid,50%,30.00%,29.00%
Hardcore OG,indica,80% Leaning,28.00%,26.00%
Harlequin,sativa,75% Leaning,10.00%,5.00%
Harmony,hybrid,50%,16.00%,14.00%
Harry Potter,hybrid,50%,17.00%,15.00%
Hash Plant,indica,80% Leaning,13.00%,10.00%
Hashberry,indica,80% Leaning,18.00%,15.00%
Hawaii 78,sativa,100%,12.00%,11.00%
Hawaiian,sativa,90%,25.00%,15.00%
Hawaiian Cookies,hybrid,50%,21.00%,19.00%
Hawaiian Delight,hybrid,50%,20.00%,20.00%
Hawaiian Diesel,sativa,100%,22.00%,22.00%
Hawaiian Haze,sativa,90%,26.00%,30.00%
Hawaiian Punch,sativa,100%,25.00%,20.00%
Hawaiian Skunk,indica,65% Leaning,17.00%,14.00%
Hawaiian Snow,sativa,100%,24.00%,18.50%
Haze,sativa,80% Leaning,27.00%,18.00%
Haze Berry,sativa,80% Leaning,22.00%,21.00%
Haze Heaven,indica,60% Leaning,22.00%,20.00%
Head Cheese,hybrid,55%,30.00%,13.00%
Head Trip,indica,80% Leaning,19.00%,18.00%
Headband,indica,55%,27.00%,20.50%
Headbanger,sativa,70% Leaning,28.00%,25.00%
Heaven Scent,hybrid,50%,22.00%,20.00%
Hell's Angel OG,indica,80% Leaning,20.00%,20.00%
Hemlock,hybrid,50%,22.00%,20.00%
Hercules,sativa,60% Leaning,21.00%,20.00%
Herijuana,indica,80% Leaning,32.20%,18.00%
Herojuana,indica,70% Leaning,29.00%,18.00%
Higher Power,sativa,100%,24.00%,22.00%
Himalayan Gold,indica,60% Leaning,25.00%,25.00%
Hindu Kush,indica,100%,20.00%,14.00%
Hindu Skunk,indica,70% Leaning,23.00%,18.00%
Hippie Chicken,sativa,80% Leaning,23.00%,19.00%
Hippie Crippler,hybrid,50%,27.00%,19.00%
Hobbit,hybrid,50%,15.00%,15.00%
Hog,indica,100%,23.00%,20.00%
Hogs Breath,indica,85% Leaning,13.00%,11.00%
Hollands Hope,indica,90%,18.00%,11.00%
Hollywood OG,hybrid,50%,20.00%,18.00%
Holy Ghost,hybrid,50%,28.00%,21.00%
Holy Grail Kush,indica,60% Leaning,24.00%,16.00%
Honey Bananas,hybrid,50%,22.00%,18.00%
Honey Boo Boo,indica,80% Leaning,21.00%,17.00%
Hong Kong,hybrid,50%,25.00%,22.00%
Huckleberry,hybrid,50%,26.00%,13.00%
Humboldt ,hybrid,50%,25.00%,20.00%
Hurricane,sativa,70% Leaning,18.00%,12.00%
Ice,hybrid,50%,20.00%,15.00%
Ice Cream,indica,60% Leaning,22.00%,16.00%
Ice Princess,indica,55%,20.00%,19.00%
Ice Queen,sativa,90%,23.00%,18.00%
Ice Wreck,hybrid,50%,28.00%,24.00%
ICED Grapefruit,sativa,60% Leaning,24.00%,22.00%
In The Pines,sativa,80% Leaning,7.00%,6.00%
Incredible Bulk,indica,80% Leaning,24.00%,20.00%
Incredible Hulk,sativa,80% Leaning,24.00%,19.00%
Industrial Plant,hybrid,50%,23.00%,18.00%
Inferno Haze,hybrid,50%,23.00%,17.00%
Ingrid,indica,75% Leaning,25.00%,22.00%
iPot,sativa,75% Leaning,22.00%,16.00%
Irene Kush,sativa,60% Leaning,22.00%,22.00%
Irish Cream,indica,100%,20.00%,16.00%
Irish Kush,indica,85% Leaning,22.00%,19.00%
Iron Triangle,hybrid,50%,28.00%,25.00%
Isla OG,hybrid,50%,27.00%,22.00%
Island Sweet Skunk,sativa,80% Leaning,19.00%,14.50%
J-27,sativa,100%,22.00%,18.00%
J1,sativa,60% Leaning,23.00%,18.00%
Jack 47,sativa,75% Leaning,24.00%,22.00%
Jack Diesel,sativa,70% Leaning,23.00%,19.00%
Jack Flash,indica,60% Leaning,20.00%,14.50%
Jack Frost,sativa,65% Leaning,20.60%,16.50%
Jack Haze,hybrid,50%,22.00%,16.00%
Jack Herer,sativa,55%,24.00%,17.00%
Jack Kush,sativa,70% Leaning,19.00%,19.00%
Jack Skellington,sativa,70% Leaning,17.00%,15.00%
Jack the Ripper,sativa,70% Leaning,17.00%,13.00%
Jack Widow,indica,80% Leaning,20.00%,19.00%
Jack's Cleaner,sativa,80% Leaning,17.00%,10.00%
Jack's Girl,hybrid,50%,53.50%,53.50%
Jacky White ,sativa,75% Leaning,18.00%,16.00%
Jager,indica,80% Leaning,23.00%,20.00%
Jamaican,sativa,80% Leaning,21.00%,13.00%
Jamaican Dream,sativa,90%,21.00%,18.00%
Jamaican Lion,hybrid,50%,18.00%,9.00%
Jamaican Pearl,sativa,60% Leaning,22.00%,15.00%
Jane Doe,hybrid,50%,24.00%,24.00%
Jazz,sativa,70% Leaning,25.00%,25.00%
Jean Guy,sativa,90%,25.00%,19.00%
Jedi Kush,indica,100%,30.00%,24.00%
Jelly Roll,indica,70% Leaning,,
Jenni,sativa,100%,11.00%,8.00%
Jesus OG,hybrid,50%,28.00%,20.00%
Jet Fuel,sativa,60% Leaning,20.00%,15.50%
Jillybean,sativa,60% Leaning,18.00%,13.00%
Jimi Hendrix,hybrid,50%,17.00%,16.00%
Jock Horror,sativa,60% Leaning,24.00%,18.00%
Johnny Blaze,indica,60% Leaning,19.00%,15.00%
Jolly Rancher,hybrid,50%,20.00%,16.00%
Jorge's Diamonds #1,indica,80% Leaning,18.00%,16.00%
Juicy Fruit,sativa,55%,20.00%,16.00%
Juicy Jack,hybrid,75% Leaning,25.00%,25.00%
Juliet,sativa,80% Leaning,20.00%,18.00%
Julius Caesar ,hybrid,50%,20.00%,20.00%
K-Train,hybrid,50%,22.00%,22.00%
K1,sativa,70% Leaning,16.00%,15.00%
K2,indica,60% Leaning,29.00%,22.00%
Kaboom,sativa,85% Leaning,16.00%,12.00%
Kahuna,hybrid,50%,22.00%,22.00%
Kali 47,sativa,70% Leaning,30.00%,19.00%
Kali Dog,sativa,60% Leaning,26.00%,23.00%
Kali Mist,sativa,90%,15.00%,11.00%
Kandy Kush,indica,60% Leaning,20.00%,14.50%
Karamelo,indica,100%,20.00%,18.00%
KC 33,indica,60% Leaning,22.00%,18.00%
KC 36,indica,24%,24.00%,20.00%
Keester Kush,indica,60% Leaning,21.00%,18.00%
Kelly Hill Gold,indica,70% Leaning,25.00%,22.00%
Key Lime Pie,hybrid,50%,25.00%,20.00%
Khalifa Kush,indica,80% Leaning,29.00%,26.00%
Khufu,indica,80% Leaning,27.00%,21.00%
Kid N Kookies,indica,70% Leaning,22.00%,20.00%
Kilimanjaro,sativa,70% Leaning,18.00%,14.00%
Kill Bill,hybrid,50%,30.00%,20.00%
Killer Queen,hybrid,50%,21.00%,17.00%
Killing Fields,sativa,80% Leaning,22.00%,13.50%
Kimbo Kush,indica,70% Leaning,27.00%,15.50%
King Cake,hybrid,50%,23.00%,20.00%
King Kong,indica,80% Leaning,21.00%,18.00%
King Kush,indica,70% Leaning,20.00%,18.00%
King Louis XIII,indica,70% Leaning,28.00%,20.00%
King's Bread,sativa,100%,21.00%,21.00%
Kings Kush,indica,70% Leaning,20.00%,14.00%
Kolossus,hybrid,50%,22.00%,16.00%
Kona Gold,sativa,100%,15.00%,11.00%
Kong,hybrid,50%,20.00%,16.00%
Kosher Kush,indica,80% Leaning,20.00%,15.00%
Kriss Kross,hybrid,50%,21.00%,17.00%
Kryptonite,indica,85% Leaning,27.00%,17.00%
Krystalica,sativa,60% Leaning,20.00%,16.00%
La Blanca,indica,75% Leaning,15.00%,10.00%
LA Chocolat,indica,60% Leaning,29.00%,27.00%
LA Confidential,indica,95%,25.50%,19.00%
LA Jack,sativa,75% Leaning,24.00%,19.00%
LA Kush,indica,90%,21.00%,20.00%
La Nina,sativa,75% Leaning,23.00%,20.00%
LA OG,hybrid,50%,24.00%,18.00%
LA Sunshine,hybrid,50%,27.00%,24.00%
LA Ultra,indica,80% Leaning,30.00%,24.00%
LA Woman,hybrid,50%,28.00%,19.00%
Lady Liberty ,hybrid,50%,23.00%,21.00%
Lake of Fire,hybrid,50%,20.00%,18.00%
Lamb's Bread,sativa,95%,17.20%,14.00%
LAPD,hybrid,50%,26.00%,25.00%
Larry OG,indica,60% Leaning,24.30%,21.00%
Las Vegas Purple Kush,indica,60% Leaning,23.00%,20.00%
Laughing Buddha,sativa,100%,20.00%,18.00%
Lavender,indica,80% Leaning,20.00%,14.00%
Lavender Haze,indica,60% Leaning,20.00%,14.00%
Lavender Kush,indica,60% Leaning,18.00%,13.00%
Legalized OG,indica,70% Leaning,24.00%,21.00%
Legendary Lemon,sativa,70% Leaning,22.00%,19.00%
Lemon Bananas,hybrid,50%,27.00%,24.00%
Lemon Bubble,sativa,80% Leaning,23.00%,20.00%
Lemon Cake,sativa,80% Leaning,25.00%,17.00%
Lemon Daddy,sativa,80% Leaning,24.00%,20.00%
Lemon Diesel,indica,70% Leaning,18.00%,13.00%
Lemon Drop,sativa,60% Leaning,23.00%,18.00%
Lemon Fire,hybrid,50%,24.00%,19.00%
Lemon G,sativa,70% Leaning,23.00%,19.00%
Lemon Jack,sativa,70% Leaning,18.00%,13.00%
Lemon Kush,hybrid,50%,26.00%,15.00%
Lemon Marmalade,hybrid,50%,27.00%,25.00%
Lemon OG,indica,60% Leaning,24.00%,17.00%
Lemon Pie,sativa,70% Leaning,22.00%,16.00%
Lemon Sativa,sativa,100%,25.00%,23.00%
Lemon Skunk,sativa,60% Leaning,22.00%,14.50%
Lemon Thai,hybrid,50%,22.00%,20.00%
Lemon Wreck,sativa,60% Leaning,20.00%,15.00%
Lethal Purple,indica,80% Leaning,25.00%,21.00%
Liberty Haze,hybrid,50%,29.00%,21.00%
Lifesaver,hybrid,50%,21.00%,16.00%
Light of Jah,sativa,75% Leaning,26.00%,24.00%
Lightstorm,indica,100%,16.00%,12.00%
Lime Green Skunk,hybrid,50%,17.00%,16.00%
Lime Purple Mist,indica,80% Leaning,28.00%,26.00%
Limon,sativa,70% Leaning,24.00%,19.00%
Lions Gate,indica,100%,16.00%,14.00%
Liquid Butter,indica,100%,20.00%,19.00%
Little Angel,hybrid,50%,15.00%,12.00%
Little Devil,indica,70% Leaning,60.00%,60.00%
Little Dragon,sativa,70% Leaning,28.00%,26.00%
Locktite,indica,70% Leaning,23.00%,23.00%
Locomotion,indica,70% Leaning,23.00%,19.00%
Lodi Dodi,sativa,70% Leaning,28.00%,20.00%
Logic Diesel,hybrid,50%,25.00%,25.00%
Lost Coast OG,indica,60% Leaning,15.00%,10.00%
Loud,hybrid,50%,28.00%,15.00%
Loud Dream,indica,60% Leaning,16.00%,15.00%
Loud Scout ,indica,75% Leaning,23.00%,22.00%
Love Potion #1,sativa,70% Leaning,18.00%,13.00%
Lowryder,sativa,60% Leaning,14.00%,6.00%
LSD,indica,55%,24.00%,16.00%
Lucid Blue,sativa,80% Leaning,28.00%,24.00%
Lucid Dream,sativa,80% Leaning,28.00%,22.00%
Lucy ,hybrid,50%,20.00%,17.00%
M-39,hybrid,50%,14.00%,9.00%
Mace Windu,indica,75% Leaning,16.00%,13.00%
Mad Scientist,indica,75% Leaning,24.00%,15.00%
Madagascar,indica,100%,,
Madness,hybrid,50%,18.00%,14.00%
Magic Jordan,indica,70% Leaning,25.00%,24.00%
Magnum,hybrid,50%,15.00%,12.00%
Mai Tai Cookies,sativa,70% Leaning,14.00%,10.00%
Majestic 12,hybrid,50%,,
Mako Haze,sativa,75% Leaning,21.00%,16.00%
Malawi,sativa,100%,24.00%,19.00%
Mammoth,hybrid,50%,21.00%,17.00%
Mandala #1,hybrid,50%,21.00%,18.00%
Mango,hybrid,50%,24.00%,20.00%
Mango Dream,hybrid,50%,23.00%,18.00%
Mango Haze,hybrid,50%,19.00%,16.00%
Mango Kush,indica,65% Leaning,20.80%,11.00%
Mango Tango,indica,70% Leaning,26.00%,24.00%
Manitoba Poison,hybrid,50%,16.00%,15.00%
Maple Leaf Indica,indica,100%,18.00%,15.00%
Mars OG,indica,80% Leaning,20.00%,15.50%
Martian Candy,indica,70% Leaning,21.00%,19.00%
Master Bubba,hybrid,50%,8.00%,7.00%
Master Jedi,hybrid,50%,25.00%,20.00%
Master Kush,indica,80% Leaning,20.00%,16.00%
Master Skunk,hybrid,50%,19.00%,18.00%
Master Yoda,hybrid,50%,28.00%,20.00%
Mau-Mau,indica,70% Leaning,18.00%,15.00%
Maui,sativa,100%,26.00%,20.00%
Maui Berry,indica,60% Leaning,16.00%,16.00%
Maui Bubble Gift,indica,60% Leaning,9.00%,5.00%
Maui Waui,sativa,85% Leaning,19.00%,13.00%
Mazar,indica,80% Leaning,20.00%,14.50%
Mazar Kush,indica,80% Leaning,20.00%,18.00%
Medicine Man,indica,80% Leaning,23.00%,17.00%
Medicine Woman ,sativa,60% Leaning,23.90%,23.00%
Medusa,hybrid,50%,20.00%,18.00%
Mega Jackpot,sativa,60% Leaning,25.00%,23.00%
Mega Wellness OG ,hybrid,50%,33.00%,26.00%
Megalodon,sativa,60% Leaning,23.00%,21.00%
Melon Gum,indica,70% Leaning,23.00%,19.00%
Memory Loss ,sativa,90%,28.00%,23.00%
Mendo Breath,indica,70% Leaning,20.00%,19.00%
Mendocino Purps,indica,60% Leaning,20.00%,13.50%
Mercury OG,indica,100%,24.00%,18.00%
Mexican,sativa,100%,16.00%,14.00%
Michigan Skunk,indica,80% Leaning,17.00%,14.00%
Middlefork,sativa,55%,26.00%,16.00%
Midnight,sativa,60% Leaning,13.00%,11.00%
MILF,sativa,80% Leaning,20.00%,20.00%
Milky Way,sativa,80% Leaning,22.00%,19.00%
Millennium,indica,75% Leaning,20.00%,14.00%
Mimosa,sativa,70% Leaning,27.00%,23.00%
Misty Morning,indica,70% Leaning,10.00%,10.00%
MK Ultra,indica,60% Leaning,21.80%,18.00%
Mob Boss,hybrid,50%,21.00%,14.50%
Moby Dick,sativa,75% Leaning,21.00%,15.00%
Molokai Frost,sativa,70% Leaning,70.00%,26.00%
Money Maker,indica,70% Leaning,23.00%,20.00%
Monkey Paw,indica,80% Leaning,23.00%,18.00%
Monster OG,indica,75% Leaning,26.00%,21.00%
Moonshine Haze,sativa,80% Leaning,25.00%,22.00%
Moonwalker Kush,hybrid,50%,28.00%,24.00%
Morning Star,ERROR,,24.00%,19.00%
Motavation,indica,80% Leaning,18.00%,13.00%
Mother of Berries,indica,90%,24.00%,20.00%
Mother Tongue,sativa,70% Leaning,18.00%,16.00%
Mother's Finest,sativa,70% Leaning,19.00%,18.00%
Mother's Helper,hybrid,50%,25.00%,21.00%
Mother’s Milk,sativa,70% Leaning,16.00%,14.00%
Mountain Girl,hybrid,50%,20.00%,18.00%
Mr Tusk,indica,80% Leaning,22.00%,22.00%
Mr. Nice,indica,80% Leaning,20.00%,14.00%
Ms Universe,hybrid,50%,24.00%,18.00%
Mt Cook,indica,80% Leaning,23.00%,19.00%
Mt Hood Magic,indica,70% Leaning,19.00%,17.00%
Mt Rainier,hybrid,50%,23.00%,19.00%
Narnia,sativa,70% Leaning,25.00%,22.00%
Nebula,indica,60% Leaning,18.00%,14.00%
Negra 44,indica,80% Leaning,11.00%,11.00%
Nepalese,sativa,100%,17.00%,17.00%
Nepalese Dragon,hybrid,50%,17.00%,13.00%
Nepalese Jam,sativa,60% Leaning,18.00%,16.00%
Nepali OG,indica,85% Leaning,21.00%,16.00%
Neptune OG,hybrid,50%,23.00%,19.00%
Nerds,hybrid,50%,17.00%,14.00%
Neville's Haze,sativa,75% Leaning,21.00%,17.00%
Nexus OG,indica,80% Leaning,19.00%,18.00%
Nicole Kush,indica,75% Leaning,25.00%,23.00%
Night Nurse,indica,80% Leaning,21.00%,15.50%
Night Terror OG,indica,70% Leaning,21.00%,20.00%
Night Train,hybrid,50%,23.00%,18.00%
Nirvana Special,sativa,70% Leaning,20.00%,17.00%
North American,indica,100%,19.00%,18.00%
North American Sativa,sativa,100%,11.00%,10.00%
North Indian,indica,100%,,
Northern Lights,indica,95%,33.00%,21.00%
Northern Skunk,indica,80% Leaning,14.00%,14.00%
Northern Wreck,indica,70% Leaning,29.00%,29.00%
Nova,indica,80% Leaning,23.00%,20.00%
Nurse Jackie,sativa,85% Leaning,24.00%,20.00%
NY Cheese,sativa,70% Leaning,15.00%,15.00%
NYC Diesel,sativa,60% Leaning,21.50%,15.00%
NYPD,sativa,70% Leaning,24.00%,19.00%
Oaxacan Highland,sativa,100%,23.00%,19.00%
Obama Kush,indica,65% Leaning,21.00%,16.00%
Obsession,indica,60% Leaning,19.00%,15.00%
OCD,sativa,50%,,
Odyssey,hybrid,50%,22.00%,19.00%
OG 18,indica,70% Leaning,20.00%,18.00%
OG Cheese,indica,80% Leaning,18.00%,15.00%
OG Chem,sativa,70% Leaning,20.00%,20.00%
OG Diesel Kush,hybrid,50%,20.00%,19.00%
OG Poison,indica,70% Leaning,22.00%,20.00%
OG Shark,hybrid,50%,25.00%,21.00%
OG Skunk,sativa,60% Leaning,26.00%,21.00%
OGiesel,hybrid,50%,18.90%,14.40%
OGKB,indica,70% Leaning,25.00%,19.00%
Ogre Kush,indica,80% Leaning,26.90%,18.00%
Old Mother Sativa,sativa,100%,17.00%,16.00%
Old School OG,indica,100%,20.00%,20.00%
Old Toby,indica,70% Leaning,18.00%,16.00%
Omega,hybrid,100%,26.00%,20.00%
Omega Dawg,hybrid,50%,25.00%,25.00%
One To One,hybrid,50%,14.00%,12.00%
Opium,hybrid,50%,21.00%,19.00%
Optimus Prime,indica,75% Leaning,18.00%,14.00%
Or,indica,70% Leaning,24.00%,22.00%
Oracle,hybrid,50%,14.00%,8.00%
Orange Bud,indica,65% Leaning,16.50%,13.00%
Orange Cookies,indica,60% Leaning,20.00%,15.00%
Orange Crush,sativa,80% Leaning,29.00%,11.00%
Orange Diesel,sativa,60% Leaning,16.00%,15.00%
Orange Dream,hybrid,50%,18.00%,15.00%
Orange Haze,sativa,65% Leaning,20.00%,19.00%
Orange Hill Special,hybrid,50%,21.00%,19.00%
Orange Juice,indica,70% Leaning,15.00%,15.00%
Orange Kush,hybrid,50%,24.00%,20.00%
Orange Skunk,sativa,80% Leaning,16.00%,14.00%
Orange Turbo,sativa,70% Leaning,15.00%,15.00%
Orange Velvet,hybrid,50%,22.00%,18.00%
Oregon Diesel,indica,90%,22.00%,18.00%
Oregon Pineapple,sativa,70% Leaning,20.00%,17.00%
Organic Diesel,sativa,70% Leaning,28.00%,23.00%
Oriental Express,sativa,60% Leaning,16.00%,12.00%
Ortega,indica,100%,17.00%,16.00%
